poster_diagram_number,poster_id,camera,time
1,188,1,9:31-9:37
2,164,1,9:38-9:44
3,179,1,9:45-9:51
4,174,1,9:52-9:58
5,169,1,9:24-9:30
6,168,1,9:17-9:23
7,189,1,9:10-9:16
8,149,1,9:03-9:09
9,193,1,8:56-9:02
10,175,1,8:44-8:50
11,192,1,8:37-8:43
12,171,1,8:30-8:36
13,197,2,9:31-9:37
14,195,2,9:38-9:44
15,180,2,9:45-9:51
16,155,2,9:52-9:58
17,190,2,9:24-9:30
18,194,2,9:17-9:23
19,173,2,9:10-9:16
20,158,2,9:03-9:09
21,211,2,8:30-8:36
22,185,2,8:37-8:43
23,182,2,8:44-8:50
24,176,2,8:56-9:02
25,181,3,8:56-9:02
26,167,3,8:44-8:50
27,160,3,8:37-8:43
28,162,3,8:30-8:36
29,196,3,9:24-9:30
30,153,3,9:17-9:23
31,161,3,9:10-9:16
32,148,3,9:03-9:09
33,187,3,9:52-9:58
34,200,3,9:45-9:51
35,178,3,9:38-9:44
36,166,3,9:31-9:37
37,198,4,8:44-8:50
38,172,4,8:37-8:43
39,191,4,8:30-8:36
40,201,3,9:59-10:05
41,199,4,9:17-9:23
42,163,4,9:10-9:16
43,151,4,9:03-9:09
44,184,4,8:56-9:02
45,165,4,9:38-9:44
46,170,4,9:31-9:37
48,186,4,9:24-9:30
49,177,4,9:45-9:51
50,157,4,9:52-9:58
